,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
105,304.8,0,0,0.001,1,0,0,0,1,0,0,0
106,237.3,1,0,1.1,0,0,0,0,1,0,0,0
107,249.8,1,0,0.8,0,0,0,0,1,0,0,0
108,229.8,4,0,2.8,1,0,0,0,1,0,0,0
109,234.8,4,0,3.7,1,0,0,0,1,0,0,0
110,219.9,4,0,4.7,1,0,0,0,1,0,0,0
111,229.8,4,0,4.4,1,0,0,0,1,0,0,0
112,249.8,4,0,3.0,1,0,0,0,1,0,0,0
113,226.4,3,0,3.2,1,0,0,0,1,0,0,0
114,197.0,4,0,1.3,0,0,0,0,1,0,0,0
115,269.9,0,0,0.4,0,0,0,0,1,0,0,0
116,218.7,3,0,4.4,1,0,0,0,1,0,0,0
117,259.9,3,0,1.4,1,0,0,0,1,0,0,0
118,225.9,3,0,1.3,0,0,0,0,1,0,0,0
119,246.9,1,0,0.2,0,0,0,0,1,0,0,0
120,229.9,4,0,3.0,1,0,0,0,1,0,0,0
121,327.0,0,0,0.0007,1,0,0,0,1,0,0,0
122,222.8,3,0,5.8,1,0,0,0,1,0,0,0
123,228.0,2,0,2.7,1,0,1,0,0,0,0,0
124,232.6,4,0,1.1,1,0,0,0,1,0,0,0
125,245.9,3,0,1.0,1,0,0,0,1,0,0,0
126,244.8,3,0,3.6,1,0,0,0,1,0,0,0
127,251.9,1,0,0.7,0,0,0,0,1,0,0,0
128,229.9,4,0,4.5,1,0,0,0,1,0,0,0
129,243.5,2,0,0.4,0,0,0,0,1,0,0,0
130,231.0,5,0,3.2,1,1,0,0,1,0,0,0
131,224.0,4,0,3.6,1,0,0,0,1,0,0,0
132,235.7,4,0,3.7,1,0,0,0,1,0,0,0
133,256.9,2,0,1.4,1,0,0,0,1,0,0,0
134,208.5,4,0,5.3,1,0,0,0,1,0,0,0
135,211.0,4,0,2.7,1,0,1,0,0,0,0,0
136,219.6,4,0,5.2,1,0,0,0,1,0,0,0
137,208.4,5,1,1.2,1,0,0,0,1,0,0,0
138,243.8,4,0,1.1,1,0,0,0,1,0,0,0
139,209.7,4,0,3.8,0,0,0,0,1,0,0,0
140,248.0,3,0,3.3,1,0,0,0,1,0,0,0
141,249.8,4,0,1.6,1,0,0,0,1,0,0,0
142,208.8,5,0,7.2,1,0,0,0,1,0,0,0
143,224.8,3,0,1.2,0,0,0,0,1,0,0,0
144,306.9,1,0,0.2,1,0,0,0,1,0,0,0
145,231.1,3,0,1.8,0,0,0,0,1,0,0,0
146,221.8,4,0,6.2,1,1,0,0,1,0,0,0
147,258.8,3,0,2.9,1,0,0,0,1,0,0,0
148,239.9,5,0,1.9,1,0,0,0,1,0,0,0
149,259.8,4,0,2.9,1,1,0,0,1,0,0,0
150,299.8,0,0,0.2,1,0,0,0,1,0,0,0
151,322.7,0,0,0.0004,1,0,0,0,1,0,0,0
